# decorative_cracks_coasts_animation - 336 sprites (thứ tự: trên->dưới, trái->phải)
# index  name  | x y w h
 294  decorative_cracks_coasts_animation_294 | 96 32 16 16
 295  decorative_cracks_coasts_animation_295 | 112 32 16 16
 296  decorative_cracks_coasts_animation_296 | 128 32 16 16
 297  decorative_cracks_coasts_animation_297 | 144 32 16 16
 298  decorative_cracks_coasts_animation_298 | 160 32 16 16
 299  decorative_cracks_coasts_animation_299 | 176 32 16 16
 300  decorative_cracks_coasts_animation_300 | 192 32 16 16
 301  decorative_cracks_coasts_animation_301 | 208 32 16 16
 302  decorative_cracks_coasts_animation_302 | 224 32 16 16
 303  decorative_cracks_coasts_animation_303 | 240 32 16 16
 304  decorative_cracks_coasts_animation_304 | 0 16 16 16
 305  decorative_cracks_coasts_animation_305 | 16 16 16 16
 306  decorative_cracks_coasts_animation_306 | 32 16 16 16
 307  decorative_cracks_coasts_animation_307 | 48 16 16 16
 308  decorative_cracks_coasts_animation_308 | 64 16 16 16
 309  decorative_cracks_coasts_animation_309 | 80 16 16 16
 310  decorative_cracks_coasts_animation_310 | 96 16 16 16
 311  decorative_cracks_coasts_animation_311 | 112 16 16 16
 312  decorative_cracks_coasts_animation_312 | 128 16 16 16
 313  decorative_cracks_coasts_animation_313 | 144 16 16 16
 314  decorative_cracks_coasts_animation_314 | 160 16 16 16
 315  decorative_cracks_coasts_animation_315 | 176 16 16 16
 316  decorative_cracks_coasts_animation_316 | 192 16 16 16
 317  decorative_cracks_coasts_animation_317 | 208 16 16 16
 318  decorative_cracks_coasts_animation_318 | 224 16 16 16
 319  decorative_cracks_coasts_animation_319 | 240 16 16 16
 320  decorative_cracks_coasts_animation_320 | 0 0 16 16
 321  decorative_cracks_coasts_animation_321 | 16 0 16 16
 322  decorative_cracks_coasts_animation_322 | 32 0 16 16
 323  decorative_cracks_coasts_animation_323 | 48 0 16 16
 324  decorative_cracks_coasts_animation_324 | 64 0 16 16
 325  decorative_cracks_coasts_animation_325 | 80 0 16 16
 326  decorative_cracks_coasts_animation_326 | 96 0 16 16
 327  decorative_cracks_coasts_animation_327 | 112 0 16 16
 328  decorative_cracks_coasts_animation_328 | 128 0 16 16
 329  decorative_cracks_coasts_animation_329 | 144 0 16 16
 330  decorative_cracks_coasts_animation_330 | 160 0 16 16
 331  decorative_cracks_coasts_animation_331 | 176 0 16 16
 332  decorative_cracks_coasts_animation_332 | 192 0 16 16
 333  decorative_cracks_coasts_animation_333 | 208 0 16 16
 334  decorative_cracks_coasts_animation_334 | 224 0 16 16
 335  decorative_cracks_coasts_animation_335 | 240 0 16 16
